"Town","FIPS","Year","Occupancy Status","Measure Type","Variable","Value"
"Stonington","0901173770","2006-2010","Vacant","Number","Housing Units",1170
"Stonington","0901173770","2006-2010","Vacant","Number","Margins of Error",248
"Stonington","0901173770","2006-2010","Vacant","Percent","Housing Units",12.9
"Stonington","0901173770","2006-2010","Vacant","Percent","Margins of Error",2.78
"Stonington","0901173770","2006-2010","Occupied","Number","Housing Units",7901
"Stonington","0901173770","2006-2010","Occupied","Number","Margins of Error",270
"Stonington","0901173770","2006-2010","Occupied","Percent","Housing Units",87.1
"Stonington","0901173770","2006-2010","Occupied","Percent","Margins of Error",4.46
"Stonington","0901173770","2007-2011","Total","Number","Housing Units",9051
"Stonington","0901173770","2007-2011","Total","Number","Margins of Error",282
"Stonington","0901173770","2007-2011","Vacant","Number","Housing Units",1253
"Stonington","0901173770","2007-2011","Vacant","Number","Margins of Error",204
"Stonington","0901173770","2007-2011","Vacant","Percent","Housing Units",13.84
"Stonington","0901173770","2007-2011","Vacant","Percent","Margins of Error",2.29
"Stonington","0901173770","2007-2011","Occupied","Number","Housing Units",7798
"Stonington","0901173770","2007-2011","Occupied","Number","Margins of Error",222
"Stonington","0901173770","2007-2011","Occupied","Percent","Housing Units",86.16
"Stonington","0901173770","2007-2011","Occupied","Percent","Margins of Error",3.64
"Stonington","0901173770","2008-2012","Total","Number","Housing Units",9062
"Stonington","0901173770","2008-2012","Total","Number","Margins of Error",338
"Stonington","0901173770","2008-2012","Vacant","Number","Housing Units",1395
"Stonington","0901173770","2008-2012","Vacant","Number","Margins of Error",236
"Stonington","0901173770","2008-2012","Vacant","Percent","Housing Units",15.39
"Stonington","0901173770","2008-2012","Vacant","Percent","Margins of Error",2.67
"Stonington","0901173770","2008-2012","Occupied","Number","Housing Units",7667
"Stonington","0901173770","2008-2012","Occupied","Number","Margins of Error",275
"Stonington","0901173770","2008-2012","Occupied","Percent","Housing Units",84.61
"Stonington","0901173770","2008-2012","Occupied","Percent","Margins of Error",4.38
"Stonington","0901173770","2009-2013","Total","Number","Housing Units",9231
"Stonington","0901173770","2009-2013","Total","Number","Margins of Error",254
"Stonington","0901173770","2009-2013","Vacant","Number","Housing Units",1396
"Stonington","0901173770","2009-2013","Vacant","Number","Margins of Error",200
"Stonington","0901173770","2009-2013","Vacant","Percent","Housing Units",15.12
"Stonington","0901173770","2009-2013","Vacant","Percent","Margins of Error",2.21
"Stonington","0901173770","2009-2013","Occupied","Number","Housing Units",7835
"Stonington","0901173770","2009-2013","Occupied","Number","Margins of Error",255
"Stonington","0901173770","2009-2013","Occupied","Percent","Housing Units",84.88
"Stonington","0901173770","2009-2013","Occupied","Percent","Margins of Error",3.62
"Stonington","0901173770","2010-2014","Total","Number","Housing Units",9477
"Stonington","0901173770","2010-2014","Total","Number","Margins of Error",244
"Stonington","0901173770","2010-2014","Vacant","Number","Housing Units",1596
"Stonington","0901173770","2010-2014","Vacant","Number","Margins of Error",217
"Stonington","0901173770","2010-2014","Vacant","Percent","Housing Units",16.84
"Stonington","0901173770","2010-2014","Vacant","Percent","Margins of Error",2.33
"Stonington","0901173770","2010-2014","Occupied","Number","Housing Units",7881
"Stonington","0901173770","2010-2014","Occupied","Number","Margins of Error",212
"Stonington","0901173770","2010-2014","Occupied","Percent","Housing Units",83.16
"Stonington","0901173770","2010-2014","Occupied","Percent","Margins of Error",3.1
"Stonington","0901173770","2011-2015","Total","Number","Housing Units",9281
"Stonington","0901173770","2011-2015","Total","Number","Margins of Error",317
"Stonington","0901173770","2011-2015","Vacant","Number","Housing Units",1532
"Stonington","0901173770","2011-2015","Vacant","Number","Margins of Error",219
"Stonington","0901173770","2011-2015","Vacant","Percent","Housing Units",16.51
"Stonington","0901173770","2011-2015","Vacant","Percent","Margins of Error",2.43
"Stonington","0901173770","2011-2015","Occupied","Number","Housing Units",7749
"Stonington","0901173770","2011-2015","Occupied","Number","Margins of Error",247
"Stonington","0901173770","2011-2015","Occupied","Percent","Housing Units",83.49
"Stonington","0901173770","2011-2015","Occupied","Percent","Margins of Error",3.9
"Stonington","0901173770","2012-2016","Total","Number","Housing Units",9440
"Stonington","0901173770","2012-2016","Total","Number","Margins of Error",278
"Stonington","0901173770","2012-2016","Vacant","Number","Housing Units",1562
"Stonington","0901173770","2012-2016","Vacant","Number","Margins of Error",247
"Stonington","0901173770","2012-2016","Vacant","Percent","Housing Units",16.55
"Stonington","0901173770","2012-2016","Vacant","Percent","Margins of Error",2.66
"Stonington","0901173770","2012-2016","Occupied","Number","Housing Units",7878
"Stonington","0901173770","2012-2016","Occupied","Number","Margins of Error",249
"Stonington","0901173770","2012-2016","Occupied","Percent","Housing Units",83.45
"Stonington","0901173770","2012-2016","Occupied","Percent","Margins of Error",3.61
"Stonington","0901173770","2013-2017","Total","Number","Housing Units",9465
"Stonington","0901173770","2013-2017","Total","Number","Margins of Error",348
"Stonington","0901173770","2013-2017","Vacant","Number","Housing Units",1441
"Stonington","0901173770","2013-2017","Vacant","Number","Margins of Error",258
"Stonington","0901173770","2013-2017","Vacant","Percent","Housing Units",15.22
"Stonington","0901173770","2013-2017","Vacant","Percent","Margins of Error",2.78
"Stonington","0901173770","2013-2017","Occupied","Number","Housing Units",8024
"Stonington","0901173770","2013-2017","Occupied","Number","Margins of Error",256
"Stonington","0901173770","2013-2017","Occupied","Percent","Housing Units",84.78
"Stonington","0901173770","2013-2017","Occupied","Percent","Margins of Error",4.13
"Stonington","0901173770","2014-2018","Total","Number","Housing Units",9488
"Stonington","0901173770","2014-2018","Total","Number","Margins of Error",315
"Stonington","0901173770","2014-2018","Vacant","Number","Housing Units",1388
"Stonington","0901173770","2014-2018","Vacant","Number","Margins of Error",222
"Stonington","0901173770","2014-2018","Vacant","Percent","Housing Units",14.63
"Stonington","0901173770","2014-2018","Vacant","Percent","Margins of Error",2.39
"Stonington","0901173770","2014-2018","Occupied","Number","Housing Units",8100
"Stonington","0901173770","2014-2018","Occupied","Number","Margins of Error",265
"Stonington","0901173770","2014-2018","Occupied","Percent","Housing Units",85.37
"Stonington","0901173770","2014-2018","Occupied","Percent","Margins of Error",3.98
"Stratford","0900174190","2006-2010","Total","Number","Housing Units",20713
"Stratford","0900174190","2006-2010","Total","Number","Margins of Error",514
"Stratford","0900174190","2006-2010","Vacant","Number","Housing Units",1075
"Stratford","0900174190","2006-2010","Vacant","Number","Margins of Error",253
"Stratford","0900174190","2006-2010","Vacant","Percent","Housing Units",5.19
"Stratford","0900174190","2006-2010","Vacant","Percent","Margins of Error",1.23
"Stratford","0900174190","2006-2010","Occupied","Number","Housing Units",19638
"Stratford","0900174190","2006-2010","Occupied","Number","Margins of Error",473
"Stratford","0900174190","2006-2010","Occupied","Percent","Housing Units",94.81
"Stratford","0900174190","2006-2010","Occupied","Percent","Margins of Error",3.28
"Stratford","0900174190","2007-2011","Total","Number","Housing Units",20991
"Stratford","0900174190","2007-2011","Total","Number","Margins of Error",480
"Stratford","0900174190","2007-2011","Vacant","Number","Housing Units",1069
"Stratford","0900174190","2007-2011","Vacant","Number","Margins of Error",253
"Stratford","0900174190","2007-2011","Vacant","Percent","Housing Units",5.09
"Stratford","0900174190","2007-2011","Vacant","Percent","Margins of Error",1.21
"Stratford","0900174190","2007-2011","Occupied","Number","Housing Units",19922
"Stratford","0900174190","2007-2011","Occupied","Number","Margins of Error",471
"Stratford","0900174190","2007-2011","Occupied","Percent","Housing Units",94.91
"Stratford","0900174190","2007-2011","Occupied","Percent","Margins of Error",3.12
"Stratford","0900174190","2008-2012","Total","Number","Housing Units",21393
"Stratford","0900174190","2008-2012","Total","Number","Margins of Error",478
"Stratford","0900174190","2008-2012","Vacant","Number","Housing Units",1224
"Stratford","0900174190","2008-2012","Vacant","Number","Margins of Error",270
"Stratford","0900174190","2008-2012","Vacant","Percent","Housing Units",5.72
"Stratford","0900174190","2008-2012","Vacant","Percent","Margins of Error",1.27
"Stratford","0900174190","2008-2012","Occupied","Number","Housing Units",20169
"Stratford","0900174190","2008-2012","Occupied","Number","Margins of Error",462
"Stratford","0900174190","2008-2012","Occupied","Percent","Housing Units",94.28
"Stratford","0900174190","2008-2012","Occupied","Percent","Margins of Error",3.02
"Stratford","0900174190","2009-2013","Total","Number","Housing Units",21657
"Stratford","0900174190","2009-2013","Total","Number","Margins of Error",436
"Stratford","0900174190","2009-2013","Vacant","Number","Housing Units",1367
"Stratford","0900174190","2009-2013","Vacant","Number","Margins of Error",307
"Stratford","0900174190","2009-2013","Vacant","Percent","Housing Units",6.31
"Stratford","0900174190","2009-2013","Vacant","Percent","Margins of Error",1.42
"Stratford","0900174190","2009-2013","Occupied","Number","Housing Units",20290
"Stratford","0900174190","2009-2013","Occupied","Number","Margins of Error",365
"Stratford","0900174190","2009-2013","Occupied","Percent","Housing Units",93.69
"Stratford","0900174190","2009-2013","Occupied","Percent","Margins of Error",2.53
"Stratford","0900174190","2010-2014","Total","Number","Housing Units",21736
"Stratford","0900174190","2010-2014","Total","Number","Margins of Error",365
"Stratford","0900174190","2010-2014","Vacant","Number","Housing Units",1406
"Stratford","0900174190","2010-2014","Vacant","Number","Margins of Error",260
"Stratford","0900174190","2010-2014","Vacant","Percent","Housing Units",6.47
"Stratford","0900174190","2010-2014","Vacant","Percent","Margins of Error",1.2
"Stratford","0900174190","2010-2014","Occupied","Number","Housing Units",20330
"Stratford","0900174190","2010-2014","Occupied","Number","Margins of Error",350
"Stratford","0900174190","2010-2014","Occupied","Percent","Housing Units",93.53
"Stratford","0900174190","2010-2014","Occupied","Percent","Margins of Error",2.25
"Stratford","0900174190","2011-2015","Total","Number","Housing Units",22264
"Stratford","0900174190","2011-2015","Total","Number","Margins of Error",455
"Stratford","0900174190","2011-2015","Vacant","Number","Housing Units",1550
"Stratford","0900174190","2011-2015","Vacant","Number","Margins of Error",291
"Stratford","0900174190","2011-2015","Vacant","Percent","Housing Units",6.96
"Stratford","0900174190","2011-2015","Vacant","Percent","Margins of Error",1.31
"Stratford","0900174190","2011-2015","Occupied","Number","Housing Units",20714
"Stratford","0900174190","2011-2015","Occupied","Number","Margins of Error",412
"Stratford","0900174190","2011-2015","Occupied","Percent","Housing Units",93.04
"Stratford","0900174190","2011-2015","Occupied","Percent","Margins of Error",2.65
"Stratford","0900174190","2012-2016","Total","Number","Housing Units",22112
"Stratford","0900174190","2012-2016","Total","Number","Margins of Error",512
"Stratford","0900174190","2012-2016","Vacant","Number","Housing Units",1572
"Stratford","0900174190","2012-2016","Vacant","Number","Margins of Error",299
"Stratford","0900174190","2012-2016","Vacant","Percent","Housing Units",7.11
"Stratford","0900174190","2012-2016","Vacant","Percent","Margins of Error",1.36
"Stratford","0900174190","2012-2016","Occupied","Number","Housing Units",20540
"Stratford","0900174190","2012-2016","Occupied","Number","Margins of Error",488
"Stratford","0900174190","2012-2016","Occupied","Percent","Housing Units",92.89
"Stratford","0900174190","2012-2016","Occupied","Percent","Margins of Error",3.08
"Stratford","0900174190","2013-2017","Total","Number","Housing Units",21745
"Stratford","0900174190","2013-2017","Total","Number","Margins of Error",505
"Stratford","0900174190","2013-2017","Vacant","Number","Housing Units",1566
"Stratford","0900174190","2013-2017","Vacant","Number","Margins of Error",331
"Stratford","0900174190","2013-2017","Vacant","Percent","Housing Units",7.2
"Stratford","0900174190","2013-2017","Vacant","Percent","Margins of Error",1.53
"Stratford","0900174190","2013-2017","Occupied","Number","Housing Units",20179
"Stratford","0900174190","2013-2017","Occupied","Number","Margins of Error",422
"Stratford","0900174190","2013-2017","Occupied","Percent","Housing Units",92.8
"Stratford","0900174190","2013-2017","Occupied","Percent","Margins of Error",2.9
"Stratford","0900174190","2014-2018","Total","Number","Housing Units",21734
"Stratford","0900174190","2014-2018","Total","Number","Margins of Error",450
"Stratford","0900174190","2014-2018","Vacant","Number","Housing Units",1650
"Stratford","0900174190","2014-2018","Vacant","Number","Margins of Error",271
"Stratford","0900174190","2014-2018","Vacant","Percent","Housing Units",7.59
"Stratford","0900174190","2014-2018","Vacant","Percent","Margins of Error",1.26
"Stratford","0900174190","2014-2018","Occupied","Number","Housing Units",20084
"Stratford","0900174190","2014-2018","Occupied","Number","Margins of Error",414
"Stratford","0900174190","2014-2018","Occupied","Percent","Housing Units",92.41
"Stratford","0900174190","2014-2018","Occupied","Percent","Margins of Error",2.7
"Suffield","0900374540","2006-2010","Total","Number","Housing Units",5365
"Suffield","0900374540","2006-2010","Total","Number","Margins of Error",181
"Suffield","0900374540","2006-2010","Vacant","Number","Housing Units",173
"Suffield","0900374540","2006-2010","Vacant","Number","Margins of Error",103
"Suffield","0900374540","2006-2010","Vacant","Percent","Housing Units",3.22
"Suffield","0900374540","2006-2010","Vacant","Percent","Margins of Error",1.92
"Suffield","0900374540","2006-2010","Occupied","Number","Housing Units",5192
"Suffield","0900374540","2006-2010","Occupied","Number","Margins of Error",165
"Suffield","0900374540","2006-2010","Occupied","Percent","Housing Units",96.78
"Suffield","0900374540","2006-2010","Occupied","Percent","Margins of Error",4.49
"Suffield","0900374540","2007-2011","Total","Number","Housing Units",5098
"Suffield","0900374540","2007-2011","Total","Number","Margins of Error",231
"Suffield","0900374540","2007-2011","Vacant","Number","Housing Units",66
"Suffield","0900374540","2007-2011","Vacant","Number","Margins of Error",47
"Suffield","0900374540","2007-2011","Vacant","Percent","Housing Units",1.29
"Suffield","0900374540","2007-2011","Vacant","Percent","Margins of Error",0.92
"Suffield","0900374540","2007-2011","Occupied","Number","Housing Units",5032
"Suffield","0900374540","2007-2011","Occupied","Number","Margins of Error",228
"Suffield","0900374540","2007-2011","Occupied","Percent","Housing Units",98.71
"Suffield","0900374540","2007-2011","Occupied","Percent","Margins of Error",6.32
"Suffield","0900374540","2008-2012","Total","Number","Housing Units",5082
"Suffield","0900374540","2008-2012","Total","Number","Margins of Error",205
"Suffield","0900374540","2008-2012","Vacant","Number","Housing Units",98
"Suffield","0900374540","2008-2012","Vacant","Number","Margins of Error",62
"Suffield","0900374540","2008-2012","Vacant","Percent","Housing Units",1.93
"Suffield","0900374540","2008-2012","Vacant","Percent","Margins of Error",1.22
"Suffield","0900374540","2008-2012","Occupied","Number","Housing Units",4984
"Suffield","0900374540","2008-2012","Occupied","Number","Margins of Error",207
"Suffield","0900374540","2008-2012","Occupied","Percent","Housing Units",98.07
"Suffield","0900374540","2008-2012","Occupied","Percent","Margins of Error",5.68
"Suffield","0900374540","2009-2013","Total","Number","Housing Units",5064
"Suffield","0900374540","2009-2013","Total","Number","Margins of Error",188
"Suffield","0900374540","2009-2013","Vacant","Number","Housing Units",171
"Suffield","0900374540","2009-2013","Vacant","Number","Margins of Error",91
"Suffield","0900374540","2009-2013","Vacant","Percent","Housing Units",3.38
"Suffield","0900374540","2009-2013","Vacant","Percent","Margins of Error",1.8
"Suffield","0900374540","2009-2013","Occupied","Number","Housing Units",4893
"Suffield","0900374540","2009-2013","Occupied","Number","Margins of Error",176
"Suffield","0900374540","2009-2013","Occupied","Percent","Housing Units",96.62
"Suffield","0900374540","2009-2013","Occupied","Percent","Margins of Error",4.99
"Suffield","0900374540","2010-2014","Total","Number","Housing Units",5098
"Suffield","0900374540","2010-2014","Total","Number","Margins of Error",243
"Suffield","0900374540","2010-2014","Vacant","Number","Housing Units",276
"Suffield","0900374540","2010-2014","Vacant","Number","Margins of Error",120
"Suffield","0900374540","2010-2014","Vacant","Percent","Housing Units",5.41
"Suffield","0900374540","2010-2014","Vacant","Percent","Margins of Error",2.37
"Suffield","0900374540","2010-2014","Occupied","Number","Housing Units",4822
"Suffield","0900374540","2010-2014","Occupied","Number","Margins of Error",225
"Suffield","0900374540","2010-2014","Occupied","Percent","Housing Units",94.59
"Suffield","0900374540","2010-2014","Occupied","Percent","Margins of Error",6.31
"Suffield","0900374540","2011-2015","Total","Number","Housing Units",4977
"Suffield","0900374540","2011-2015","Total","Number","Margins of Error",248
"Suffield","0900374540","2011-2015","Vacant","Number","Housing Units",307
"Suffield","0900374540","2011-2015","Vacant","Number","Margins of Error",136
"Suffield","0900374540","2011-2015","Vacant","Percent","Housing Units",6.17
"Suffield","0900374540","2011-2015","Vacant","Percent","Margins of Error",2.75
"Suffield","0900374540","2011-2015","Occupied","Number","Housing Units",4670
"Suffield","0900374540","2011-2015","Occupied","Number","Margins of Error",220
"Suffield","0900374540","2011-2015","Occupied","Percent","Housing Units",93.83
"Suffield","0900374540","2011-2015","Occupied","Percent","Margins of Error",6.43
"Suffield","0900374540","2012-2016","Total","Number","Housing Units",5282
"Suffield","0900374540","2012-2016","Total","Number","Margins of Error",198
"Suffield","0900374540","2012-2016","Vacant","Number","Housing Units",442
"Suffield","0900374540","2012-2016","Vacant","Number","Margins of Error",149
"Suffield","0900374540","2012-2016","Vacant","Percent","Housing Units",8.37
"Suffield","0900374540","2012-2016","Vacant","Percent","Margins of Error",2.84
"Suffield","0900374540","2012-2016","Occupied","Number","Housing Units",4840
"Suffield","0900374540","2012-2016","Occupied","Number","Margins of Error",158
"Suffield","0900374540","2012-2016","Occupied","Percent","Housing Units",91.63
"Suffield","0900374540","2012-2016","Occupied","Percent","Margins of Error",4.55
"Suffield","0900374540","2013-2017","Total","Number","Housing Units",5429
"Suffield","0900374540","2013-2017","Total","Number","Margins of Error",163
"Suffield","0900374540","2013-2017","Vacant","Number","Housing Units",502
"Suffield","0900374540","2013-2017","Vacant","Number","Margins of Error",155
"Suffield","0900374540","2013-2017","Vacant","Percent","Housing Units",9.25
"Suffield","0900374540","2013-2017","Vacant","Percent","Margins of Error",2.87
"Suffield","0900374540","2013-2017","Occupied","Number","Housing Units",4927
"Suffield","0900374540","2013-2017","Occupied","Number","Margins of Error",166
"Suffield","0900374540","2013-2017","Occupied","Percent","Housing Units",90.75
"Suffield","0900374540","2013-2017","Occupied","Percent","Margins of Error",4.1
"Suffield","0900374540","2014-2018","Total","Number","Housing Units",5608
"Suffield","0900374540","2014-2018","Total","Number","Margins of Error",221
"Suffield","0900374540","2014-2018","Vacant","Number","Housing Units",576
"Suffield","0900374540","2014-2018","Vacant","Number","Margins of Error",165
"Suffield","0900374540","2014-2018","Vacant","Percent","Housing Units",10.27
"Suffield","0900374540","2014-2018","Vacant","Percent","Margins of Error",2.97
"Suffield","0900374540","2014-2018","Occupied","Number","Housing Units",5032
"Suffield","0900374540","2014-2018","Occupied","Number","Margins of Error",168
"Suffield","0900374540","2014-2018","Occupied","Percent","Housing Units",89.73
"Suffield","0900374540","2014-2018","Occupied","Percent","Margins of Error",4.63
"Thomaston","0900575730","2006-2010","Total","Number","Housing Units",3282
"Thomaston","0900575730","2006-2010","Total","Number","Margins of Error",170
"Thomaston","0900575730","2006-2010","Vacant","Number","Housing Units",68
"Thomaston","0900575730","2006-2010","Vacant","Number","Margins of Error",57
"Thomaston","0900575730","2006-2010","Vacant","Percent","Housing Units",2.07
"Thomaston","0900575730","2006-2010","Vacant","Percent","Margins of Error",1.74
"Thomaston","0900575730","2006-2010","Occupied","Number","Housing Units",3214
"Thomaston","0900575730","2006-2010","Occupied","Number","Margins of Error",169
"Thomaston","0900575730","2006-2010","Occupied","Percent","Housing Units",97.93
"Thomaston","0900575730","2006-2010","Occupied","Percent","Margins of Error",7.23
"Thomaston","0900575730","2007-2011","Total","Number","Housing Units",3314
"Thomaston","0900575730","2007-2011","Total","Number","Margins of Error",147
"Thomaston","0900575730","2007-2011","Vacant","Number","Housing Units",69
"Thomaston","0900575730","2007-2011","Vacant","Number","Margins of Error",62
"Thomaston","0900575730","2007-2011","Vacant","Percent","Housing Units",2.08
"Thomaston","0900575730","2007-2011","Vacant","Percent","Margins of Error",1.87
"Thomaston","0900575730","2007-2011","Occupied","Number","Housing Units",3245
"Thomaston","0900575730","2007-2011","Occupied","Number","Margins of Error",138
"Thomaston","0900575730","2007-2011","Occupied","Percent","Housing Units",97.92
"Thomaston","0900575730","2007-2011","Occupied","Percent","Margins of Error",6.02
"Thomaston","0900575730","2008-2012","Total","Number","Housing Units",3255
"Thomaston","0900575730","2008-2012","Total","Number","Margins of Error",159
"Thomaston","0900575730","2008-2012","Vacant","Number","Housing Units",63
"Thomaston","0900575730","2008-2012","Vacant","Number","Margins of Error",51
"Thomaston","0900575730","2008-2012","Vacant","Percent","Housing Units",1.94
"Thomaston","0900575730","2008-2012","Vacant","Percent","Margins of Error",1.57
"Thomaston","0900575730","2008-2012","Occupied","Number","Housing Units",3192
"Thomaston","0900575730","2008-2012","Occupied","Number","Margins of Error",147
"Thomaston","0900575730","2008-2012","Occupied","Percent","Housing Units",98.06
"Thomaston","0900575730","2008-2012","Occupied","Percent","Margins of Error",6.58
"Thomaston","0900575730","2009-2013","Total","Number","Housing Units",3202
"Thomaston","0900575730","2009-2013","Total","Number","Margins of Error",147
"Thomaston","0900575730","2009-2013","Vacant","Number","Housing Units",156
"Thomaston","0900575730","2009-2013","Vacant","Number","Margins of Error",101
"Thomaston","0900575730","2009-2013","Vacant","Percent","Housing Units",4.87
"Thomaston","0900575730","2009-2013","Vacant","Percent","Margins of Error",3.16
"Thomaston","0900575730","2009-2013","Occupied","Number","Housing Units",3046
"Thomaston","0900575730","2009-2013","Occupied","Number","Margins of Error",136
"Thomaston","0900575730","2009-2013","Occupied","Percent","Housing Units",95.13
"Thomaston","0900575730","2009-2013","Occupied","Percent","Margins of Error",6.09
"Thomaston","0900575730","2010-2014","Total","Number","Housing Units",3110
"Thomaston","0900575730","2010-2014","Total","Number","Margins of Error",128
"Thomaston","0900575730","2010-2014","Vacant","Number","Housing Units",110
"Thomaston","0900575730","2010-2014","Vacant","Number","Margins of Error",76
"Thomaston","0900575730","2010-2014","Vacant","Percent","Housing Units",3.54
"Thomaston","0900575730","2010-2014","Vacant","Percent","Margins of Error",2.45
"Thomaston","0900575730","2010-2014","Occupied","Number","Housing Units",3000
"Thomaston","0900575730","2010-2014","Occupied","Number","Margins of Error",120
"Thomaston","0900575730","2010-2014","Occupied","Percent","Housing Units",96.46
"Thomaston","0900575730","2010-2014","Occupied","Percent","Margins of Error",5.54
"Thomaston","0900575730","2011-2015","Total","Number","Housing Units",3104
"Thomaston","0900575730","2011-2015","Total","Number","Margins of Error",170
"Thomaston","0900575730","2011-2015","Vacant","Number","Housing Units",122
"Thomaston","0900575730","2011-2015","Vacant","Number","Margins of Error",83
"Thomaston","0900575730","2011-2015","Vacant","Percent","Housing Units",3.93
"Thomaston","0900575730","2011-2015","Vacant","Percent","Margins of Error",2.68
"Thomaston","0900575730","2011-2015","Occupied","Number","Housing Units",2982
"Thomaston","0900575730","2011-2015","Occupied","Number","Margins of Error",151
"Thomaston","0900575730","2011-2015","Occupied","Percent","Housing Units",96.07
"Thomaston","0900575730","2011-2015","Occupied","Percent","Margins of Error",7.17
"Thomaston","0900575730","2012-2016","Total","Number","Housing Units",3175
"Thomaston","0900575730","2012-2016","Total","Number","Margins of Error",160
"Thomaston","0900575730","2012-2016","Vacant","Number","Housing Units",148
"Thomaston","0900575730","2012-2016","Vacant","Number","Margins of Error",89
"Thomaston","0900575730","2012-2016","Vacant","Percent","Housing Units",4.66
"Thomaston","0900575730","2012-2016","Vacant","Percent","Margins of Error",2.81
"Thomaston","0900575730","2012-2016","Occupied","Number","Housing Units",3027
"Thomaston","0900575730","2012-2016","Occupied","Number","Margins of Error",130
"Thomaston","0900575730","2012-2016","Occupied","Percent","Housing Units",95.34
"Thomaston","0900575730","2012-2016","Occupied","Percent","Margins of Error",6.31
"Thomaston","0900575730","2013-2017","Total","Number","Housing Units",3267
"Thomaston","0900575730","2013-2017","Total","Number","Margins of Error",177
"Thomaston","0900575730","2013-2017","Vacant","Number","Housing Units",171
"Thomaston","0900575730","2013-2017","Vacant","Number","Margins of Error",102
"Thomaston","0900575730","2013-2017","Vacant","Percent","Housing Units",5.23
"Thomaston","0900575730","2013-2017","Vacant","Percent","Margins of Error",3.13
"Thomaston","0900575730","2013-2017","Occupied","Number","Housing Units",3096
"Thomaston","0900575730","2013-2017","Occupied","Number","Margins of Error",154
"Thomaston","0900575730","2013-2017","Occupied","Percent","Housing Units",94.77
"Thomaston","0900575730","2013-2017","Occupied","Percent","Margins of Error",6.97
"Thomaston","0900575730","2014-2018","Total","Number","Housing Units",3287
"Thomaston","0900575730","2014-2018","Total","Number","Margins of Error",155
"Thomaston","0900575730","2014-2018","Vacant","Number","Housing Units",153
"Thomaston","0900575730","2014-2018","Vacant","Number","Margins of Error",82
"Thomaston","0900575730","2014-2018","Vacant","Percent","Housing Units",4.65
"Thomaston","0900575730","2014-2018","Vacant","Percent","Margins of Error",2.5
"Thomaston","0900575730","2014-2018","Occupied","Number","Housing Units",3134
"Thomaston","0900575730","2014-2018","Occupied","Number","Margins of Error",146
"Thomaston","0900575730","2014-2018","Occupied","Percent","Housing Units",95.35
"Thomaston","0900575730","2014-2018","Occupied","Percent","Margins of Error",6.32
"Thompson","0901575870","2006-2010","Total","Number","Housing Units",3913
"Thompson","0901575870","2006-2010","Total","Number","Margins of Error",213
"Thompson","0901575870","2006-2010","Vacant","Number","Housing Units",284
"Thompson","0901575870","2006-2010","Vacant","Number","Margins of Error",142
"Thompson","0901575870","2006-2010","Vacant","Percent","Housing Units",7.26
"Thompson","0901575870","2006-2010","Vacant","Percent","Margins of Error",3.65
"Thompson","0901575870","2006-2010","Occupied","Number","Housing Units",3629
"Thompson","0901575870","2006-2010","Occupied","Number","Margins of Error",201
"Thompson","0901575870","2006-2010","Occupied","Percent","Housing Units",92.74
"Thompson","0901575870","2006-2010","Occupied","Percent","Margins of Error",7.2
"Thompson","0901575870","2007-2011","Total","Number","Housing Units",3956
"Thompson","0901575870","2007-2011","Total","Number","Margins of Error",214
"Thompson","0901575870","2007-2011","Vacant","Number","Housing Units",271
"Thompson","0901575870","2007-2011","Vacant","Number","Margins of Error",124
"Thompson","0901575870","2007-2011","Vacant","Percent","Housing Units",6.85
"Thompson","0901575870","2007-2011","Vacant","Percent","Margins of Error",3.16
"Thompson","0901575870","2007-2011","Occupied","Number","Housing Units",3685
"Thompson","0901575870","2007-2011","Occupied","Number","Margins of Error",204
"Thompson","0901575870","2007-2011","Occupied","Percent","Housing Units",93.15
"Thompson","0901575870","2007-2011","Occupied","Percent","Margins of Error",7.21
"Thompson","0901575870","2008-2012","Total","Number","Housing Units",4013
"Thompson","0901575870","2008-2012","Total","Number","Margins of Error",191
"Thompson","0901575870","2008-2012","Vacant","Number","Housing Units",395
"Thompson","0901575870","2008-2012","Vacant","Number","Margins of Error",145
"Thompson","0901575870","2008-2012","Vacant","Percent","Housing Units",9.84
"Thompson","0901575870","2008-2012","Vacant","Percent","Margins of Error",3.64
"Thompson","0901575870","2008-2012","Occupied","Number","Housing Units",3618
"Thompson","0901575870","2008-2012","Occupied","Number","Margins of Error",187
"Thompson","0901575870","2008-2012","Occupied","Percent","Housing Units",90.16
"Thompson","0901575870","2008-2012","Occupied","Percent","Margins of Error",6.33
"Thompson","0901575870","2009-2013","Total","Number","Housing Units",4027
"Thompson","0901575870","2009-2013","Total","Number","Margins of Error",174
"Thompson","0901575870","2009-2013","Vacant","Number","Housing Units",381
"Thompson","0901575870","2009-2013","Vacant","Number","Margins of Error",123
"Thompson","0901575870","2009-2013","Vacant","Percent","Housing Units",9.46
"Thompson","0901575870","2009-2013","Vacant","Percent","Margins of Error",3.08
"Thompson","0901575870","2009-2013","Occupied","Number","Housing Units",3646
"Thompson","0901575870","2009-2013","Occupied","Number","Margins of Error",165
"Thompson","0901575870","2009-2013","Occupied","Percent","Housing Units",90.54
"Thompson","0901575870","2009-2013","Occupied","Percent","Margins of Error",5.67
"Thompson","0901575870","2010-2014","Total","Number","Housing Units",4040
"Thompson","0901575870","2010-2014","Total","Number","Margins of Error",162
"Thompson","0901575870","2010-2014","Vacant","Number","Housing Units",367
